Geneid	data/sorted.bam
YDL081C	9468
YDR283C	840
YDR261C	972
YDL211C	194
YDL074C	1559
YDL091C	455
YDR346C	3088
YDR072C	1106
YDR242W	248
YDR323C	214
YDR486C	397
YDR420W	753
YDL122W	1851
YDR390C	1081
YDR481C	1454
YDR318W	318
YDL105W	158
YDL141W	787
YDR400W	397
YDR522C	68
YDL173W	391
YDR279W	343
YDR281C	86
YDR213W	270
YDR179W-A	356
YDR330W	478
YDR106W	27
YDL178W	2025
YDR484W	346
YDR308C	332
YDL192W	5572
YDL202W	962
YDR146C	873
YDR241W	77
YDL158C	77
YDL185W	6131
YDR251W	968
tL(UAA)D	0
YDR192C	219
YDR368W	955
YDR494W	1256
YDR399W	5195
YDR070C	16
YDR138W	778
YDR031W	334
YDR255C	291
YDL060W	1731
YDR048C	0
YDR067C	352
YDR126W	210
YDR315C	158
YDL126C	9208
YDR262W	563
tQ(UUG)D3	0
YDR345C	13936
YDR079W	270
YDR433W	9
YDL144C	614
YDR306C	463
YDR292C	1491
YDL009C	70
YDR290W	1
YDR282C	305
YDR170C	3118
YDR174W	1698
YDL218W	72
YDL062W	1
YDL048C	254
YDR500C	4965
YDR112W	42
YDR538W	32
YDL011C	1
YDR355C	1
YDR301W	804
YDR412W	100
YDR530C	264
YDR227W	861
YDR041W	829
YDR015C	0
YDL008W	329
YDR234W	4887
YDR511W	346
YDR519W	1055
YDL086C-A	0
YDR250C	28
YDR465C	930
YDL001W	454
YDR454C	2110
YDR013W	211
YDR076W	160
YDL095W	3570
YDL007C-A	0
YDL130W	6742
YDR100W	540
YDR479C	523
tS(AGA)D1	0
YDL117W	772
YDR140W	268
YDR381W	3202
tQ(UUG)D2	0
YDR327W	90
YDR062W	2917
YDR143C	714
YDL172C	0
YDL053C	530
YDR223W	115
YDL037C	355
YDL167C	1018
YDR246W-A	9
YDR371C-A	0
YDR517W	897
YDL226C	1271
YDR467C	24
YDL134C	948
YDR117C	473
YDR314C	228
YDR440W	461
YDR303C	948
YDL078C	1639
YDL238C	137
YDR529C	3121
YDR437W	64
snR47	20
YDL196W	12
YDR452W	2794
YDR445C	0
YDR347W	943
tQ(UUG)D1	0
YDR490C	475
YDR516C	546
YDR509W	1
YDL193W	426
YDL137W	2625
YDL118W	6
YDR235W	440
YDR233C	4560
YDR388W	1395
YDR209C	411
YDR049W	490
YDL194W	131
YDR021W	252
YDR353W	2609
YDR051C	841
YDR288W	376
YDR141C	1027
YDR194C	4245
YDR424C	428
YDR054C	892
YDR122W	843
YDR184C	362
YDR183C-A	22
YDL240W	514
YDR056C	669
YDR541C	377
YDL042C	190
YDR185C	84
YDR328C	1059
YDR280W	739
tV(UAC)D	8
YDR098C	1338
YDR005C	528
YDR423C	351
YDR017C	874
YDR419W	537
YDR444W	434
YDR341C	3784
YDR154C	71
YDR464W	938
YDR132C	237
YDL210W	70
YDR395W	1977
YDL222C	85
YDR372C	1651
YDR325W	946
YDR216W	233
YDR082W	337
YDL224C	744
YDR498C	355
YDR010C	9
YDR006C	698
YDR182W	927
YDL102W	554
YDL179W	438
YDL067C	1094
YDR030C	157
YDR020C	223
YDR527W	429
YDR333C	986
YDL093W	563
YDL043C	246
YDR139C	686
YDR322C-A	1351
YDL130W-A	449
YDR210W	0
YDR260C	289
YDL017W	170
YDR073W	291
YDL069C	100
YDR455C	3
YDR461W	1031
YDR435C	365
YDL063C	641
YDR121W	296
YDR178W	543
YDL013W	456
YDR534C	44
YDR392W	517
YDR034C-A	0
YDL132W	1508
YDR535C	28
YDR202C	187
YDL050C	7
YDR524C-A	0
YDL109C	199
YDR211W	2450
YDR110W	783
tG(CCC)D	0
YDR274C	105
YDR167W	785
YDR156W	289
YDL223C	353
YDR075W	393
YDR039C	0
YDL088C	727
YDL129W	136
YDL215C	905
YDR297W	812
YDR131C	172
YDR230W	11
YDR348C	1019
YDL169C	41
YDR007W	254
YDL195W	2953
YDR263C	188
YDR220C	50
YDR429C	3240
YDR119W-A	31
YDR421W	350
YDL186W	34
YDL198C	2293
YDL120W	567
YDR379W	648
YDL029W	2449
YDR205W	380
YDR094W	0
YDR369C	351
YDR088C	389
YDR411C	597
YDR441C	420
YDR446W	5
YDL183C	177
YDR194W-A	1
YDR114C	0
YDR442W	5
tK(CUU)D2	0
YDL059C	545
YDR016C	312
YDR430C	1271
YDR366C	6
YDR374W-A	264
YDR293C	2743
YDR459C	339
YDR022C	153
YDR217C	815
YDR052C	620
YDL027C	380
YDR104C	394
YDL136W	6341
YDR248C	427
YDR078C	292
YDR068W	803
YDL080C	579
YDR461C-A	85
YDR252W	87
YDL046W	1818
YDR540C	102
YDR181C	497
YDL200C	206
YDR108W	445
YDR337W	755
YDR356W	753
YDL235C	708
YDR320W-B	1
YDL245C	38
YDR170W-A	3
YDR210W-B	120
YDR210C-D	139
YDR316W-B	29
YDR261C-D	186
YDR210C-C	0
YDR261C-C	0
YDR261W-B	202
YDR365W-A	0
YDR316W-A	0
YDR261W-A	0
YDR365W-B	145
YDR098C-B	46
YDR098C-A	0
YDR210W-A	0
YDR034C-D	18
YDR034C-C	0
YOR185C	170
YOR237W	21
YOL048C	370
tG(GCC)O1	0
YOL144W	462
snR8	41
YOR082C	0
YOL072W	255
YOR114W	205
YOL085C	12
YOR385W	371
YOR214C	2
YOL119C	1178
YOR019W	131
YOR206W	2023
YOR345C	5
YOR341W	5399
YOL088C	696
YOR392W	1
YOR160W	742
YOR084W	313
YOR039W	867
YOR264W	333
YOR281C	544
tK(UUU)O	4
YOR230W	2644
YOR144C	465
YOL081W	1234
YOL052C	599
YOR285W	2558
YOR058C	545
YOR270C	5866
YOL154W	72
YOR115C	990
YOL003C	399
YOR258W	71
tN(GUU)O2	0
YOL103W	1608
YOR215C	521
YOL095C	275
YOL063C	551
YOL079W	0
YOR389W	244
YOR231W	584
YOR021C	1320
YOR139C	13
YOR120W	190
YOL038W	2214
YOR023C	704
